RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation45_Scenario21,11.25,1.43,2.10,14.79,1
Generation45_Scenario22,11.24,1.60,2.36,15.21,1
Generation45_Scenario23,11.23,1.50,2.27,15.00,1
Generation45_Scenario24,11.21,1.49,2.57,15.27,1
Generation45_Scenario25,11.26,1.43,1.47,14.16,1
Generation45_Scenario26,11.24,1.46,1.93,14.63,1
Generation45_Scenario27,11.23,1.50,1.90,14.63,1
Generation45_Scenario28,22.52,2.78,3.03,28.33,2
Generation45_Scenario29,11.24,1.42,1.30,13.96,1
Generation45_Scenario30,11.24,1.47,1.94,14.65,1
Generation45_Scenario31,11.24,1.49,1.64,14.37,1
Generation45_Scenario32,11.24,1.41,2.24,14.88,1
Generation45_Scenario33,11.25,1.45,2.09,14.79,1
Generation45_Scenario34,11.23,1.40,2.04,14.67,1
Generation45_Scenario35,11.24,1.49,1.64,14.37,1
Generation45_Scenario36,11.26,1.40,2.32,14.97,1
Generation45_Scenario37,11.18,1.50,2.06,14.75,1
Generation45_Scenario38,11.25,1.40,2.28,14.93,1
Generation45_Scenario39,11.27,1.53,1.95,14.75,1
Generation45_Scenario40,11.23,2.42,1.63,15.28,1
Generation45_Scenario41,11.25,1.49,1.77,14.52,1
Generation45_Scenario42,11.25,1.44,1.98,14.67,1
Generation45_Scenario43,11.22,1.41,2.26,14.89,1
Generation45_Scenario44,11.24,1.43,1.76,14.43,1
Generation45_Scenario45,11.26,1.41,1.93,14.60,1
Generation45_Scenario46,11.24,1.42,1.78,14.44,1
Generation45_Scenario47,11.23,1.38,1.90,14.51,1
Generation45_Scenario48,11.25,1.40,2.39,15.04,1
Generation45_Scenario49,11.22,1.46,2.12,14.79,1
Generation45_Scenario50,11.23,1.42,1.92,14.57,1
Generation46_Scenario1,11.23,1.44,1.72,14.40,1
Generation46_Scenario2,11.27,1.45,2.09,14.81,1
Generation46_Scenario3,11.25,1.42,2.01,14.68,1
Generation46_Scenario4,11.25,1.46,1.69,14.40,1
Generation46_Scenario5,22.49,3.03,3.51,29.03,2
Generation46_Scenario6,11.25,1.40,1.89,14.54,1
Generation46_Scenario7,11.24,1.44,1.96,14.64,1
Generation46_Scenario8,11.23,1.46,1.60,14.29,1
Generation46_Scenario9,11.23,1.46,2.24,14.93,1
Generation46_Scenario10,11.19,1.53,1.77,14.48,1
Generation46_Scenario11,11.25,1.53,2.68,15.47,1
Generation46_Scenario12,33.63,4.35,5.87,43.85,3
Generation46_Scenario13,11.23,1.52,2.08,14.83,1
Generation46_Scenario14,11.25,1.44,2.11,14.80,1
Generation46_Scenario15,11.23,1.49,1.49,14.20,1
Generation46_Scenario16,11.23,1.43,1.49,14.14,1
Generation46_Scenario17,11.27,1.53,1.52,14.31,1
Generation46_Scenario18,11.23,1.52,2.45,15.19,1
Generation46_Scenario19,11.25,1.47,2.16,14.88,1
Generation46_Scenario20,11.22,1.42,1.58,14.22,1
Generation46_Scenario21,22.48,2.94,4.23,29.65,2
Generation46_Scenario22,11.23,1.72,2.55,15.50,1
Generation46_Scenario23,11.24,1.47,1.90,14.61,1
Generation46_Scenario24,11.21,1.50,1.90,14.60,1
Generation46_Scenario25,11.25,1.41,1.60,14.26,1
Generation46_Scenario26,11.24,1.43,2.01,14.67,1
Generation46_Scenario27,11.25,1.44,1.88,14.58,1
Generation46_Scenario28,11.28,1.50,2.00,14.78,1
Generation46_Scenario29,11.23,1.39,1.31,13.94,1
Generation46_Scenario30,11.24,1.40,2.58,15.22,1
Generation46_Scenario31,11.22,1.49,1.58,14.29,1
Generation46_Scenario32,11.26,1.42,1.95,14.63,1
Generation46_Scenario33,11.24,1.46,1.94,14.64,1
Generation46_Scenario34,11.24,1.41,1.71,14.36,1
Generation46_Scenario35,11.24,1.44,1.93,14.61,1
Generation46_Scenario36,11.26,1.38,2.31,14.94,1
Generation46_Scenario37,11.21,1.57,2.69,15.47,1
Generation46_Scenario38,11.24,1.46,1.83,14.53,1
Generation46_Scenario39,11.25,1.44,1.97,14.66,1
