RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation4_Scenario23,11.20,1.42,2.43,15.05,1
Generation4_Scenario24,11.23,1.44,1.96,14.63,1
Generation4_Scenario25,11.24,1.41,1.95,14.60,1
Generation4_Scenario26,11.22,1.43,1.68,14.34,1
Generation4_Scenario27,11.24,1.46,1.66,14.37,1
Generation4_Scenario28,11.22,1.45,2.01,14.68,1
Generation4_Scenario29,11.22,1.38,1.61,14.22,1
Generation4_Scenario30,11.24,1.52,1.57,14.33,1
Generation4_Scenario31,11.23,1.39,1.63,14.25,1
Generation4_Scenario32,11.20,1.34,2.24,14.78,1
Generation4_Scenario33,11.20,1.43,1.72,14.35,1
Generation4_Scenario34,11.21,1.54,1.92,14.67,1
Generation4_Scenario35,11.23,1.36,2.32,14.91,1
Generation4_Scenario36,11.23,1.46,1.76,14.44,1
Generation4_Scenario37,11.22,1.44,1.40,14.06,1
Generation4_Scenario38,11.22,1.42,1.84,14.49,1
Generation4_Scenario39,11.24,1.41,1.63,14.28,1
Generation4_Scenario40,11.24,1.39,1.98,14.62,1
Generation4_Scenario41,11.24,1.38,1.65,14.26,1
Generation4_Scenario42,11.21,1.35,1.55,14.11,1
Generation4_Scenario43,11.24,1.43,1.45,14.12,1
Generation4_Scenario44,11.22,1.44,1.80,14.45,1
Generation4_Scenario45,11.23,1.59,2.34,15.16,1
Generation4_Scenario46,11.23,1.37,2.07,14.66,1
Generation4_Scenario47,11.21,1.45,2.11,14.77,1
Generation4_Scenario48,11.25,1.41,1.79,14.45,1
Generation4_Scenario49,11.24,1.36,1.79,14.39,1
Generation4_Scenario50,11.22,1.49,1.72,14.43,1
Generation5_Scenario1,11.23,1.36,1.80,14.39,1
Generation5_Scenario2,11.23,1.36,1.39,13.98,1
Generation5_Scenario3,11.22,1.57,1.91,14.70,1
Generation5_Scenario4,11.20,1.41,1.91,14.51,1
Generation5_Scenario5,11.22,1.42,2.35,14.98,1
Generation5_Scenario6,11.18,1.35,1.85,14.38,1
Generation5_Scenario7,11.22,1.43,2.09,14.75,1
Generation5_Scenario8,11.23,1.48,1.37,14.08,1
Generation5_Scenario9,11.21,1.40,1.61,14.23,1
Generation5_Scenario10,11.23,1.44,1.55,14.21,1
Generation5_Scenario11,11.24,1.44,2.23,14.91,1
Generation5_Scenario12,11.25,1.50,2.14,14.90,1
Generation5_Scenario13,11.24,1.52,1.70,14.46,1
Generation5_Scenario14,11.23,1.53,2.10,14.85,1
Generation5_Scenario15,11.21,1.42,1.40,14.03,1
Generation5_Scenario16,11.24,1.38,2.17,14.79,1
Generation5_Scenario17,11.21,1.38,2.09,14.68,1
Generation5_Scenario18,11.22,1.39,2.32,14.93,1
Generation5_Scenario19,11.23,1.39,1.38,14.01,1
Generation5_Scenario20,11.21,1.50,3.04,15.75,1
Generation5_Scenario21,11.24,1.41,1.95,14.60,1
Generation5_Scenario22,11.22,1.38,2.07,14.68,1
Generation5_Scenario23,11.24,1.47,2.01,14.72,1
Generation5_Scenario24,11.24,1.45,1.93,14.62,1
Generation5_Scenario25,11.21,1.39,1.82,14.42,1
Generation5_Scenario26,11.22,1.54,2.48,15.23,1
Generation5_Scenario27,11.23,1.48,1.41,14.12,1
Generation5_Scenario28,11.21,1.45,1.96,14.62,1
Generation5_Scenario29,11.20,1.50,1.54,14.25,1
Generation5_Scenario30,11.23,1.38,1.57,14.19,1
Generation5_Scenario31,11.25,1.48,1.40,14.12,1
Generation5_Scenario32,11.24,1.36,1.87,14.47,1
Generation5_Scenario33,11.20,1.38,2.36,14.95,1
Generation5_Scenario34,11.21,1.38,1.52,14.11,1
Generation5_Scenario35,11.22,1.40,2.15,14.76,1
Generation5_Scenario36,11.25,1.41,2.10,14.76,1
Generation5_Scenario37,11.23,1.41,1.69,14.33,1
Generation5_Scenario38,11.22,1.42,1.88,14.52,1
Generation5_Scenario39,11.19,1.45,1.64,14.29,1
Generation5_Scenario40,11.20,1.37,1.26,13.83,1
Generation5_Scenario41,11.22,1.51,1.35,14.07,1
Generation5_Scenario42,11.22,1.40,2.27,14.89,1
Generation5_Scenario43,11.28,1.37,1.64,14.29,1
Generation5_Scenario44,11.20,5.57,2.30,19.07,1
Generation5_Scenario45,11.23,1.46,1.70,14.39,1
Generation5_Scenario46,11.22,1.48,2.30,15.01,1
Generation5_Scenario47,22.36,2.91,3.27,28.54,2
Generation5_Scenario48,11.24,1.43,2.11,14.78,1
Generation5_Scenario49,11.23,1.46,1.95,14.65,1
Generation5_Scenario50,11.24,1.43,2.43,15.10,1
Generation6_Scenario1,11.23,1.39,1.98,14.60,1
Generation6_Scenario2,11.24,1.35,1.64,14.22,1
Generation6_Scenario3,11.25,1.39,2.04,14.69,1
Generation6_Scenario4,11.26,1.37,2.45,15.08,1
Generation6_Scenario5,11.23,1.45,2.32,15.00,1
Generation6_Scenario6,11.21,1.41,1.64,14.25,1
Generation6_Scenario7,11.24,1.43,1.92,14.59,1
Generation6_Scenario8,11.22,1.39,1.46,14.07,1
Generation6_Scenario9,11.23,1.34,1.61,14.18,1
Generation6_Scenario10,11.25,1.45,1.86,14.56,1
Generation6_Scenario11,11.19,1.40,1.75,14.33,1
Generation6_Scenario12,11.22,1.42,1.86,14.50,1
Generation6_Scenario13,11.25,1.45,2.21,14.91,1
Generation6_Scenario14,11.20,1.45,2.29,14.93,1
Generation6_Scenario15,11.22,1.40,1.49,14.11,1
Generation6_Scenario16,11.22,1.43,2.16,14.80,1
Generation6_Scenario17,11.20,1.44,2.47,15.10,1
Generation6_Scenario18,11.24,1.42,1.91,14.56,1
Generation6_Scenario19,22.51,2.90,2.39,27.80,2
Generation6_Scenario20,11.24,1.50,2.14,14.88,1
Generation6_Scenario21,11.23,1.54,2.19,14.96,1
Generation6_Scenario22,11.26,1.40,2.88,15.53,1
Generation6_Scenario23,11.24,1.42,2.12,14.78,1
Generation6_Scenario24,11.20,1.37,1.75,14.33,1
Generation6_Scenario25,11.25,1.50,2.17,14.91,1
Generation6_Scenario26,11.22,1.44,1.47,14.13,1
Generation6_Scenario27,11.24,1.46,1.30,14.00,1
Generation6_Scenario28,11.24,1.49,1.55,14.27,1
Generation6_Scenario29,11.23,1.38,1.47,14.08,1
Generation6_Scenario30,22.42,2.73,3.01,28.16,2
Generation6_Scenario31,11.22,1.47,2.16,14.85,1
Generation6_Scenario32,11.21,1.51,1.99,14.71,1
Generation6_Scenario33,22.52,2.89,3.07,28.49,2
Generation6_Scenario34,11.22,1.43,1.62,14.27,1
Generation6_Scenario35,11.22,1.33,2.19,14.74,1
Generation6_Scenario36,11.22,1.39,1.99,14.61,1
Generation6_Scenario37,11.21,1.43,1.90,14.55,1
Generation6_Scenario38,11.23,1.40,1.67,14.30,1
Generation6_Scenario39,11.24,1.41,1.62,14.27,1
Generation6_Scenario40,11.28,1.67,1.65,14.60,1
Generation6_Scenario41,11.24,1.41,1.57,14.22,1
Generation6_Scenario42,11.22,1.37,1.72,14.31,1
Generation6_Scenario43,11.18,1.42,1.38,13.98,1
Generation6_Scenario44,11.23,1.39,2.04,14.66,1
Generation6_Scenario45,11.23,1.54,2.34,15.11,1
Generation6_Scenario46,11.22,1.41,2.41,15.04,1
Generation6_Scenario47,11.24,1.50,2.34,15.08,1
Generation6_Scenario48,11.21,1.35,1.70,14.27,1
Generation6_Scenario49,11.21,1.39,1.77,14.37,1
Generation6_Scenario50,11.23,1.44,1.93,14.60,1
Generation7_Scenario1,11.23,1.55,1.88,14.65,1
Generation7_Scenario2,11.21,1.47,1.63,14.32,1
Generation7_Scenario3,11.25,1.43,2.09,14.77,1
Generation7_Scenario4,11.21,1.45,2.44,15.09,1
Generation7_Scenario5,11.24,1.49,2.57,15.31,1
Generation7_Scenario6,11.21,1.37,1.59,14.17,1
Generation7_Scenario7,11.23,1.47,1.94,14.64,1
Generation7_Scenario8,11.21,1.37,1.57,14.15,1
Generation7_Scenario9,11.23,1.43,2.03,14.70,1
Generation7_Scenario10,11.24,1.38,1.45,14.07,1
Generation7_Scenario11,11.21,1.41,1.48,14.10,1
Generation7_Scenario12,11.22,1.37,2.03,14.61,1
Generation7_Scenario13,11.20,1.40,2.23,14.83,1
Generation7_Scenario14,11.22,1.54,2.16,14.91,1
Generation7_Scenario15,11.25,1.48,1.92,14.65,1
Generation7_Scenario16,11.20,1.39,3.03,15.62,1
Generation7_Scenario17,11.23,1.41,2.03,14.67,1
Generation7_Scenario18,11.24,1.45,2.06,14.76,1
Generation7_Scenario19,11.23,1.39,1.51,14.13,1
Generation7_Scenario20,11.21,1.47,2.76,15.43,1
Generation7_Scenario21,11.22,1.38,1.96,14.56,1
Generation7_Scenario22,11.20,1.46,2.26,14.92,1
Generation7_Scenario23,11.24,1.48,3.33,16.05,1
Generation7_Scenario24,11.22,1.41,2.03,14.66,1
Generation7_Scenario25,11.22,1.48,2.45,15.15,1
Generation7_Scenario26,11.23,1.38,1.96,14.58,1
Generation7_Scenario27,11.23,1.36,1.31,13.90,1
Generation7_Scenario28,11.24,1.49,1.78,14.52,1
Generation7_Scenario29,11.22,1.45,1.61,14.29,1
Generation7_Scenario30,11.17,1.38,1.52,14.07,1
Generation7_Scenario31,11.24,1.55,1.45,14.24,1
Generation7_Scenario32,11.25,1.39,1.66,14.31,1
Generation7_Scenario33,11.19,1.41,1.98,14.58,1
Generation7_Scenario34,11.22,1.41,1.75,14.38,1
Generation7_Scenario35,22.40,2.81,3.44,28.64,2
Generation7_Scenario36,11.22,1.36,2.06,14.64,1
Generation7_Scenario37,11.22,1.46,1.84,14.52,1
Generation7_Scenario38,11.23,1.49,1.60,14.32,1
Generation7_Scenario39,11.23,1.39,1.51,14.13,1
Generation7_Scenario40,11.20,1.43,1.51,14.14,1
Generation7_Scenario41,11.20,1.37,1.59,14.16,1
Generation7_Scenario42,11.23,1.42,1.85,14.50,1
Generation7_Scenario43,11.25,1.45,1.56,14.27,1
Generation7_Scenario44,11.25,1.61,2.24,15.10,1
Generation7_Scenario45,11.23,1.52,2.06,14.80,1
Generation7_Scenario46,11.22,1.44,2.63,15.29,1
Generation7_Scenario47,11.23,1.35,2.16,14.74,1
Generation7_Scenario48,11.23,1.38,2.00,14.62,1
Generation7_Scenario49,11.23,1.37,2.07,14.68,1
Generation7_Scenario50,11.25,1.46,2.15,14.86,1
Generation8_Scenario1,11.22,1.38,1.76,14.35,1
Generation8_Scenario2,11.22,1.38,1.34,13.94,1
Generation8_Scenario3,11.22,1.46,2.00,14.67,1
Generation8_Scenario4,11.18,1.52,2.21,14.90,1
Generation8_Scenario5,11.23,1.51,2.18,14.92,1
Generation8_Scenario6,11.24,1.41,1.64,14.28,1
Generation8_Scenario7,11.24,1.48,2.45,15.16,1
Generation8_Scenario8,11.22,1.39,1.36,13.97,1
Generation8_Scenario9,11.21,1.38,1.57,14.16,1
Generation8_Scenario10,11.24,1.54,1.49,14.27,1
Generation8_Scenario11,11.20,1.36,1.73,14.30,1
Generation8_Scenario12,11.24,1.38,2.09,14.71,1
Generation8_Scenario13,11.21,1.43,1.71,14.35,1
Generation8_Scenario14,11.21,1.35,2.28,14.84,1
Generation8_Scenario15,11.23,1.38,1.49,14.11,1
Generation8_Scenario16,11.22,1.37,2.56,15.14,1
Generation8_Scenario17,11.25,1.43,2.67,15.35,1
Generation8_Scenario18,11.24,1.48,2.12,14.84,1
Generation8_Scenario19,11.23,1.40,1.34,13.97,1
Generation8_Scenario20,11.17,1.42,1.87,14.46,1
Generation8_Scenario21,11.24,1.43,1.82,14.49,1
Generation8_Scenario22,11.20,1.34,2.25,14.79,1
Generation8_Scenario23,11.23,1.46,2.85,15.53,1
Generation8_Scenario24,11.24,1.44,1.99,14.68,1
Generation8_Scenario25,11.23,1.46,2.45,15.14,1
Generation8_Scenario26,11.23,1.43,1.63,14.29,1
Generation8_Scenario27,11.25,1.42,1.29,13.96,1
Generation8_Scenario28,11.24,1.52,1.68,14.44,1
Generation8_Scenario29,11.18,1.36,1.65,14.20,1
Generation8_Scenario30,11.21,1.37,1.77,14.35,1
Generation8_Scenario31,11.19,1.42,1.44,14.04,1
Generation8_Scenario32,11.28,1.35,3.72,16.35,1
Generation8_Scenario33,11.24,1.38,2.04,14.67,1
Generation8_Scenario34,11.22,1.50,1.68,14.40,1
Generation8_Scenario35,11.21,1.48,2.53,15.21,1
Generation8_Scenario36,11.20,1.42,1.90,14.52,1
Generation8_Scenario37,11.22,1.47,1.70,14.39,1
Generation8_Scenario38,11.23,1.47,1.60,14.31,1
Generation8_Scenario39,11.24,1.41,1.51,14.15,1
Generation8_Scenario40,11.23,1.35,1.26,13.84,1
Generation8_Scenario41,11.22,1.54,1.84,14.61,1
Generation8_Scenario42,11.21,1.40,1.58,14.19,1
Generation8_Scenario43,11.22,1.40,1.35,13.98,1
Generation8_Scenario44,11.24,1.39,1.87,14.50,1
Generation8_Scenario45,11.25,1.49,2.02,14.75,1
Generation8_Scenario46,11.21,1.38,1.87,14.47,1
Generation8_Scenario47,11.22,1.34,2.08,14.64,1
Generation8_Scenario48,11.24,1.43,2.39,15.05,1
Generation8_Scenario49,11.22,1.40,1.81,14.43,1
Generation8_Scenario50,11.23,1.40,1.87,14.50,1
Generation9_Scenario1,11.24,1.39,2.84,15.47,1
Generation9_Scenario2,11.22,1.38,1.33,13.93,1
Generation9_Scenario3,11.24,1.44,2.08,14.76,1
Generation9_Scenario4,11.25,1.49,1.92,14.66,1
Generation9_Scenario5,11.22,1.53,2.26,15.00,1
Generation9_Scenario6,11.23,1.37,1.57,14.17,1
Generation9_Scenario7,11.24,1.42,2.29,14.95,1
Generation9_Scenario8,11.25,1.49,1.38,14.12,1
Generation9_Scenario9,11.24,1.37,1.60,14.21,1
Generation9_Scenario10,11.17,1.41,1.49,14.07,1
Generation9_Scenario11,11.22,1.44,1.53,14.20,1
